""	"SRR1777612_1"	"SRR1777613_1"	"SRR1777614_1"	"SRR1777615_1"	"SRR1777616_1"	"SRR1777617_1"
"Top2b"	6439	6684	5004	6342	4926	6783
"Top3a"	480	553	366	560	471	628
"Top3b"	1409	1542	1046	1661	1273	1650
"Topaz1"	0	1	1	0	0	0
"Topbp1"	2246	2905	1816	2932	2220	2869
"Topors"	1659	1768	1340	1795	1495	1938
"Toporsl"	0	0	0	0	0	0
"Toporsos"	243	217	155	194	195	206
"Tor1a"	1331	1547	1074	1536	1172	1838
"Tor1aip1"	2991	2589	1874	2426	2430	2837
"Tor1aip2"	9145	10629	7042	9951	7528	10273
"Tor1b"	1699	1576	1215	1537	1525	1639
"Tor2a"	1191	1530	934	1569	1041	1586
"Tor3a"	1837	2202	1505	2377	1537	2103
"Tor4a"	1847	2616	1554	2471	1690	2543
"Tox"	669	689	525	848	575	673
"Tox2"	62	39	47	71	37	39
"Tox3"	498	627	473	599	404	693
"Tox4"	2922	2914	2050	2952	2155	3075
"Tpbg"	241	220	182	176	142	133
"Tpbpa"	0	0	0	0	0	0
"Tpbpb"	0	0	0	0	0	0
"Tpcn1"	8683	10690	6966	10344	7396	10258
"Tpcn2"	758	830	608	728	665	774
"Tpd52"	14688	19329	12117	19127	12793	18784
"Tpd52l1"	366	172	127	87	133	163
"Tpd52l2"	3048	3156	2058	2885	2343	3150
"Tpgs1"	933	907	664	993	799	1118
"Tpgs2"	495	430	338	459	390	562
"Tph1"	318	561	228	648	269	388
"Tph2"	1	0	0	0	0	0
"Tpi1"	31267	30727	20963	27157	21736	29739
"Tpk1"	927	1176	819	1382	940	1345
"Tpm1"	185606	107532	101866	80530	103346	120648
"Tpm2"	132280	76133	84274	62025	87139	103140
"Tpm3"	15240	19323	12729	18264	13348	19331
"Tpm4"	10105	10261	7662	9710	7736	9804
"Tpmt"	737	789	443	710	477	653
"Tpo"	1	0	1	1	0	1
"Tpp1"	3505	3277	2591	3268	2738	3325
"Tpp2"	2879	3361	2155	3287	2317	3309
"Tppp"	5737	8356	4790	7753	5400	7246
"Tppp2"	0	0	0	0	1	0
"Tppp3"	10966	9677	8132	7546	8014	8019
"Tpr"	5833	6377	4231	6876	5278	6976
"Tpra1"	1286	1488	1093	1465	1156	1553
"Tprg"	99	31	58	5	42	89
"Tprgl"	5297	4879	3626	5080	4344	5438
"Tprkb"	982	918	736	945	790	1028
"Tprn"	2907	4467	2274	3762	2689	4945
"Tpsab1"	4	2	1	0	2	1
"Tpsb2"	108	51	65	39	55	84
"Tpsg1"	256	338	200	531	303	446
"Tpst1"	1615	1266	1006	1114	1018	1232
"Tpst2"	1190	1005	848	1021	658	900
"Tpt1"	94019	100727	70015	95562	78297	105493
"Tpte"	0	1	1	0	0	1
"Tpx2"	1165	1193	920	2083	1377	1843
"Tra2a"	2420	2432	1755	2674	2323	2978
"Tra2b"	5912	6677	4343	6357	5190	7055
"Trabd"	2950	3442	2335	3197	2226	3330
"Trabd2b"	633	549	459	470	460	450
"Tradd"	3840	4988	3186	4970	3519	5293
"Traf1"	163	164	78	162	104	156
"Traf2"	1120	1161	810	1176	931	1244
"Traf3"	2110	2204	1625	1977	1675	2255
"Traf3ip1"	449	573	355	544	407	622
"Traf3ip2"	1666	1922	1278	2134	1602	2278
"Traf3ip3"	65	82	34	64	38	27
"Traf4"	2534	3366	1910	2759	2379	3407
"Traf5"	618	415	378	395	409	447
"Traf6"	1366	1562	1029	1450	1063	1541
"Traf7"	3705	3920	2851	4139	3103	4307
"Trafd1"	2860	2528	2039	2393	2366	2904
"Traip"	185	237	171	295	202	311
"Trak1"	10211	11454	7655	12194	9717	12955
"Trak2"	3249	2918	2157	2966	2362	2919
"Tram1"	3955	4191	2990	4001	3027	4295
"Tram1l1"	81	55	41	65	70	78
"Tram2"	156	131	113	108	138	77
"Trank1"	11	6	4	2	16	10
"Trap1"	4016	4154	2677	4498	3295	4556
"Trap1a"	0	0	1	0	0	0
"Trappc1"	1262	1333	816	1313	934	1440
"Trappc10"	5480	6795	4443	6605	4487	6846
"Trappc11"	2249	2764	1675	2592	2077	2852
"Trappc12"	1481	1553	1077	1622	1348	1648
"Trappc13"	2102	2364	1505	2576	1709	2614
"Trappc2"	263	229	173	225	205	236
"Trappc2l"	1042	1051	709	999	889	1257
"Trappc3"	2438	2698	1783	2460	1940	2702
"Trappc3l"	0	0	0	0	0	0
"Trappc4"	1662	1775	1124	1580	1261	1984
"Trappc5"	1280	1374	1044	1222	1092	1503
"Trappc6a"	1732	2069	1288	2057	1501	2226
"Trappc6b"	1725	1828	1378	1967	1688	2146
"Trappc8"	3138	3562	2280	3626	2849	3609
"Trappc9"	1970	2275	1503	2309	1722	2353
"Trat1"	0	3	0	1	1	1
"Trcg1"	0	0	0	0	0	0
"Trdmt1"	454	405	311	536	514	505
"Trdn"	3436	1078	1208	69	925	1068
"Treh"	54	48	27	32	32	42
"Trem1"	6	4	2	3	2	1
"Trem2"	155	195	128	126	143	124
"Trem3"	0	0	0	0	0	1
"Treml1"	1	0	1	9	2	0
"Treml2"	25	18	4	29	14	8
"Treml4"	14	22	9	16	10	8
"Trerf1"	389	356	331	279	269	269
"Trex1"	420	299	258	308	309	392
"Trex2"	133	86	113	7	58	99
"Trf"	4042	4654	2870	4651	3014	4064
"Trh"	0	0	1	0	0	0
"Trhde"	4	2	8	10	8	4
"Trhr"	0	2	0	0	0	0
"Trhr2"	0	0	0	0	0	0
"Triap1"	1602	1720	1199	1679	1233	1848
"Trib1"	4931	7152	5351	5344	4062	6636
"Trib2"	491	366	288	207	271	291
"Trib3"	43	38	40	38	35	59
"Tril"	615	602	461	594	590	582
"Trim10"	1	2	2	4	2	2
"Trim11"	1219	1251	835	1076	1042	1391
"Trim12a"	515	680	424	785	745	819
"Trim12c"	1029	1226	728	1575	1274	1491
"Trim13"	372	281	257	234	249	340
"Trim14"	929	1252	734	1447	1072	1529
"Trim15"	164	245	131	379	130	319
"Trim16"	4432	5873	3259	5542	4534	5989
"Trim17"	9	12	3	3	6	4
"Trim2"	5447	6887	4278	7933	5562	8286
"Trim21"	537	477	366	641	531	691
"Trim23"	525	476	345	444	477	393
"Trim24"	1947	2094	1345	2042	1936	2349
"Trim25"	4964	6433	3943	6488	4273	6200
"Trim26"	2699	3389	2227	3252	2259	3336
"Trim27"	2105	2132	1467	2039	1681	2110
"Trim28"	5920	6270	4489	6333	5132	6864
"Trim29"	1603	616	1305	107	817	1229
"Trim3"	1271	982	822	830	855	866
"Trim30a"	306	375	215	484	400	330
"Trim30b"	6	8	11	17	14	12
"Trim30d"	1015	1209	796	1428	972	1343
"Trim30e-ps1"	12	17	2	9	20	29
"Trim31"	1912	2985	1806	3428	2262	3848
"Trim32"	998	1047	672	1078	792	1071
"Trim33"	2049	2241	1376	2266	1717	2305
"Trim34a"	348	325	209	427	336	380
"Trim34b"	1	3	0	5	3	1
"Trim35"	2852	1997	1863	1770	1698	1960
"Trim36"	705	853	572	777	653	930
"Trim37"	1448	1534	1167	1679	1193	1742
"Trim38"	4	1	0	2	1	2
"Trim39"	720	712	526	788	682	766
"Trim40"	618	1251	508	1153	676	1103
"Trim41"	2577	2736	1922	2633	2348	2995
"Trim42"	0	1	0	0	0	0
"Trim43a"	6	7	3	3	3	6
"Trim43b"	12	13	10	9	19	14
"Trim43c"	7	8	6	18	15	10
"Trim44"	2757	2646	1896	2709	2560	2921
"Trim45"	164	128	115	182	143	195
"Trim46"	605	694	452	949	520	773
"Trim47"	1497	1109	912	886	1019	1103
"Trim50"	0	0	0	0	0	0
"Trim52"	4	3	7	2	4	6
"Trim54"	1208	378	285	11	275	232
"Trim55"	128	29	28	2	13	13
"Trim56"	733	842	529	986	583	912
"Trim58"	0	0	1	0	0	0
"Trim59"	657	607	526	944	601	851
"Trim6"	317	411	194	391	283	490
"Trim60"	0	1	0	1	0	0
"Trim61"	0	1	1	1	0	0
"Trim62"	417	454	335	379	271	454
"Trim63"	485	138	126	14	90	110
"Trim65"	199	264	180	298	259	249
"Trim66"	5	5	1	2	14	5
"Trim67"	8	11	6	16	9	14
"Trim68"	393	430	290	433	447	452
"Trim69"	1	2	0	0	1	1
"Trim7"	318	174	122	108	132	103
"Trim71"	0	0	1	0	0	0
"Trim72"	1161	537	537	293	542	596
"Trim75"	0	0	0	0	0	0
"Trim8"	2283	2397	1601	1969	1952	2296
"Trim80"	3	1	2	2	0	0
"Trim9"	39	18	31	8	26	31
"Triml1"	0	0	0	0	0	0
"Triml2"	0	0	0	0	0	0
"Trio"	2462	2642	1844	2806	2183	2651
"Triobp"	3082	3114	2009	3119	2387	3341
"Trip10"	4315	4262	2966	3586	2956	4004
"Trip11"	1042	1375	761	1427	960	1289
"Trip12"	8446	9289	5871	9555	7010	9744
"Trip13"	256	391	223	406	254	423
"Trip4"	1016	1089	636	1085	1055	1201
"Trip6"	922	689	628	653	587	664
"Triqk"	237	160	173	205	210	209
"Trit1"	433	480	308	493	484	527
"Trmt1"	1635	1490	1129	1834	1383	1930
"Trmt10a"	148	179	111	267	184	266
"Trmt10b"	411	538	401	532	402	489
"Trmt10c"	845	902	580	781	697	924
"Trmt11"	437	513	321	428	412	543
"Trmt112"	1521	1449	1107	1523	1535	1976
"Trmt12"	422	464	283	451	366	456
"Trmt13"	94	102	61	83	84	93
"Trmt1l"	1060	1054	742	1294	995	1368
"Trmt2a"	1094	1192	803	1024	895	1176
"Trmt2b"	1523	1621	1177	1821	1189	1912
"Trmt44"	275	343	217	282	265	420
"Trmt5"	292	311	201	375	239	344
"Trmt6"	997	1137	756	1019	884	1295
"Trmt61a"	423	387	276	308	282	356
"Trmt61b"	187	203	146	199	151	194
"Trmu"	416	430	272	438	378	452
"Trnau1ap"	777	738	542	777	672	904
"Trnp1"	1198	782	638	666	749	902
"Trnt1"	841	963	599	850	715	986
"Tro"	193	134	129	83	108	126
"Troap"	102	106	83	202	130	194
"Trove2"	1328	1175	965	1242	1046	1283
"Trp53"	2274	2359	1695	2431	1908	2465
"Trp53bp1"	874	728	545	971	717	1015
"Trp53bp2"	2391	2657	1804	2679	1926	2733
"Trp53cor1"	10	6	7	4	3	5
"Trp53i11"	10044	12357	7880	14809	8280	12430
"Trp53i13"	320	312	264	285	259	301
"Trp53inp1"	3795	4369	2716	4329	4351	3991
"Trp53inp2"	9081	8115	6227	7854	6883	9393
"Trp53rka"	506	459	355	492	406	518
"Trp53rkb"	108	77	61	86	79	98
"Trp53tg5"	0	1	1	3	2	1
"Trp63"	545	196	448	19	241	402
"Trp73"	32	14	20	8	11	33
"Trpa1"	33	26	26	67	42	44
"Trpc1"	115	113	103	81	73	92
"Trpc2"	0	0	0	0	0	0
"Trpc3"	112	84	46	83	99	69
"Trpc4"	173	102	109	77	100	148
"Trpc4ap"	4646	5053	3400	5335	4439	5589
"Trpc5"	0	1	0	3	4	0
"Trpc5os"	0	0	0	0	0	0
"Trpc6"	172	153	114	129	143	101
"Trpc7"	6	3	4	1	4	4
"Trpd52l3"	0	0	0	1	0	0
"Trpm1"	5	2	7	4	3	1
"Trpm2"	48	84	41	31	51	33
"Trpm3"	55	18	18	11	15	33
"Trpm4"	4305	5386	3542	5876	4533	6860
"Trpm5"	14	40	13	71	23	63
"Trpm6"	7554	10754	5922	10876	7820	11719
"Trpm7"	3701	4171	2728	4137	3769	4247
"Trpm8"	0	0	0	0	0	0
"Trps1"	1078	630	737	559	676	745
"Trpt1"	288	258	174	242	224	297
"Trpv1"	78	77	58	99	78	140
"Trpv2"	765	460	457	506	445	570
"Trpv3"	657	952	587	972	867	1044
"Trpv4"	206	166	133	126	119	100
"Trpv5"	0	0	0	0	0	0
"Trpv6"	956	1567	909	1244	840	1098
"Trrap"	2264	2696	1624	3129	2246	3004
"Trub1"	531	557	406	520	552	695
"Trub2"	585	595	417	516	506	635
"Try10"	0	0	0	0	0	0
"Try4"	0	0	0	0	0	0
"Try5"	0	0	0	0	0	0
"Tsacc"	42	37	31	30	46	70
"Tsc1"	1502	1638	1210	1900	1885	1942
"Tsc2"	2625	2753	1868	2826	2340	3036
"Tsc22d1"	13695	13631	9788	15003	12408	15607
"Tsc22d2"	1630	1429	1202	1248	1169	1412
"Tsc22d3"	4198	4038	2499	3206	3404	3739
"Tsc22d4"	6005	6490	4599	6050	4268	6366
"Tsen15"	472	407	309	474	415	488
"Tsen2"	281	271	222	248	253	298
"Tsen34"	3015	2959	2279	2881	2170	2957
"Tsen54"	878	954	716	984	684	986
"Tsfm"	937	1032	750	1077	800	1195
"Tsg101"	3404	3837	2529	3459	2665	3848
"Tsga10"	110	88	47	98	55	61
"Tsga13"	0	0	1	1	0	0
"Tsga8"	0	0	0	0	0	0
"Tshb"	5	0	4	1	1	4
"Tshr"	18	20	10	4	3	15
"Tshz1"	4381	4584	3254	4143	3657	4880
"Tshz2"	2318	1829	1672	1757	1772	1821
"Tshz3"	464	379	378	289	365	412
"Tsix"	3	1	1	2	0	4
"Tsks"	1	2	0	0	0	0
"Tsku"	873	1020	586	909	725	1105
"Tslp"	40	41	45	52	38	32
"Tsn"	3028	2848	2229	3006	2649	3402
"Tsnax"	4006	3735	2772	3623	3018	4071
"Tsnaxip1"	1	1	0	2	0	0
"Tspan1"	46471	65461	37980	68773	47506	66855
"Tspan10"	1	2	2	1	4	0
"Tspan11"	234	228	154	250	174	175
"Tspan12"	2087	2378	1561	2322	1993	2324
"Tspan13"	3457	3838	2655	3891	2702	3480
"Tspan14"	2365	2369	1762	2435	1841	2441
"Tspan15"	6061	7190	4899	7279	5701	8702
"Tspan17"	732	547	474	558	596	620
"Tspan18"	1015	758	824	727	753	777
"Tspan2"	5449	3518	3759	2785	3674	4012
"Tspan2os"	3	1	2	4	3	2
"Tspan3"	17542	21362	13222	20963	14795	22909
"Tspan31"	2780	2916	2073	3093	2168	3097
"Tspan32"	69	59	23	45	39	27
"Tspan33"	880	993	745	1237	820	1069
"Tspan4"	735	556	516	413	502	455
"Tspan5"	1040	820	716	771	766	926
"Tspan6"	366	320	265	312	274	284
"Tspan7"	6143	7179	5064	7134	5347	7685
"Tspan8"	15361	20600	12763	20692	13585	19835
"Tspan9"	4269	3167	3068	2549	2938	3425
"Tspear"	15	12	5	13	6	7
"Tspo"	5561	6459	4226	5731	4296	6580
"Tspo2"	1	5	2	5	2	0
"Tspy-ps"	0	0	0	0	0	0
"Tspyl1"	3242	3119	2280	2847	2604	3172
"Tspyl2"	742	668	503	487	605	579
"Tspyl3"	177	144	123	166	133	143
"Tspyl4"	703	620	459	463	570	591
"Tspyl5"	109	79	95	76	71	99
"Tsr1"	1995	2685	1479	2367	2350	2572
"Tsr2"	693	618	481	567	560	637
"Tsr3"	462	460	404	393	372	539
"Tssc1"	853	1046	649	981	746	1056
"Tssc4"	958	948	720	985	778	1085
"Tssk1"	12	1	10	5	10	6
"Tssk2"	1	0	2	1	0	2
"Tssk3"	1	0	0	0	0	4
"Tssk4"	29	47	31	32	41	38
"Tssk5"	0	0	0	0	0	0
"Tssk6"	54	85	61	61	39	80
"Tst"	4866	6544	4178	6206	4525	6948
"Tsta3"	3269	4220	2574	4408	2954	4439
"Tstd1"	2879	4006	2307	4068	2684	4218
"Tstd2"	749	927	563	907	704	985
"Tstd3"	778	699	463	617	494	754
"Tsx"	1	6	1	1	3	0
"Ttbk1"	28	12	14	25	18	19
"Ttbk2"	1144	1265	907	1044	858	1101
"Ttc1"	1544	1551	1005	1464	1132	1607
"Ttc12"	193	137	137	102	114	116
"Ttc13"	1580	1905	1275	1690	1407	1849
"Ttc14"	1487	1661	1110	1600	1892	1853
"Ttc16"	11	13	20	28	29	32
"Ttc17"	1649	1852	1130	2067	1474	1903
"Ttc19"	875	841	565	774	633	986
"Ttc21a"	15	3	7	19	8	13
"Ttc21b"	599	725	431	753	551	694
"Ttc22"	2788	3956	2177	4052	2684	4159
"Ttc23"	616	571	469	638	488	658
"Ttc23l"	0	0	0	0	0	1
"Ttc24"	0	0	0	0	0	0
"Ttc25"	130	136	126	139	87	134
"Ttc26"	205	195	141	201	181	219
"Ttc27"	534	550	404	546	561	694
"Ttc28"	1652	1254	1161	1050	1296	1295
"Ttc29"	0	0	0	0	0	0
"Ttc3"	3447	3087	2449	3041	2473	3201
"Ttc30a1"	99	128	105	143	90	193
"Ttc30a2"	1	1	0	1	1	1
"Ttc30b"	295	331	246	394	309	390
"Ttc32"	329	328	262	411	326	418
"Ttc33"	1229	1155	821	1114	915	1229
"Ttc34"	2	0	0	2	1	2
"Ttc36"	64	57	40	68	84	95
"Ttc37"	830	894	624	855	705	873
"Ttc38"	2118	2777	1716	3252	2317	3071
"Ttc39a"	4308	6255	3593	6348	3434	6108
"Ttc39aos1"	583	909	467	888	474	854
"Ttc39b"	3682	4313	2895	4226	2729	4117
"Ttc39c"	172	117	123	150	166	206
"Ttc39d"	0	1	0	1	0	0
"Ttc4"	1099	1336	784	1301	1073	1376
"Ttc41"	34	20	15	47	33	25
"Ttc5"	1192	1458	948	1460	1134	1469
"Ttc7"	3736	4578	2985	4412	2803	4331
"Ttc7b"	848	666	526	494	573	675
"Ttc8"	297	245	210	199	286	196
"Ttc9"	230	126	118	78	104	112
"Ttc9b"	18	8	7	6	12	7
"Ttc9c"	1547	1823	1126	2155	1636	2291
"Ttf1"	902	1085	753	1181	944	1131
"Ttf2"	587	583	385	790	590	753
"Tti1"	904	986	619	952	750	1017
"Tti2"	537	604	441	533	447	690
"Ttk"	393	441	309	745	449	643
"Ttl"	1136	1074	859	968	872	1065
"Ttll1"	556	486	370	433	418	525
"Ttll10"	139	202	122	247	170	218
"Ttll11"	108	67	32	42	26	54
"Ttll12"	1444	1654	1192	1645	1200	1681
"Ttll13"	10	10	3	24	15	16
"Ttll2"	0	0	0	0	1	1
"Ttll3"	68	111	73	92	138	133
"Ttll4"	508	655	398	604	397	634
"Ttll5"	582	625	502	707	599	696
"Ttll6"	1278	1784	1131	2040	1995	2438
"Ttll7"	2072	1447	1284	1421	1557	1857
"Ttll8"	0	0	0	0	0	0
"Ttll9"	0	0	2	1	0	1
"Ttn"	11419	4050	3697	231	3430	3019
"Ttpa"	159	154	117	146	124	185
"Ttpal"	1288	1368	1002	1216	864	1352
"Ttr"	1796	2186	1430	2477	1530	2428
"Ttyh1"	406	394	315	283	271	309
"Ttyh2"	1606	1706	1337	1404	963	1472
"Ttyh3"	2568	2755	2079	2912	1911	3129
"Tub"	171	112	96	86	101	141
"Tuba1a"	3669	2776	2643	2284	2305	2810
"Tuba1b"	4876	4131	3436	4942	3395	5509
"Tuba1c"	1660	1854	1266	1957	1139	2164
"Tuba3a"	0	0	0	0	0	0
"Tuba3b"	0	1	0	0	0	0
"Tuba4a"	7057	6580	4802	4363	3475	5856
"Tuba8"	536	169	259	19	148	275
"Tubal3"	379	534	362	477	339	495
"Tubb1"	1	2	1	1	3	0
"Tubb2a"	1723	1305	1225	977	959	1233
"Tubb2a-ps2"	5	3	2	0	0	0
"Tubb2b"	373	282	310	238	274	347
"Tubb3"	679	489	373	384	441	524
"Tubb4a"	812	667	693	646	564	586
"Tubb4b"	17325	22011	14465	21503	13867	24535
"Tubb5"	15035	15418	11970	16571	11950	16978
"Tubb6"	3954	2964	2530	2576	2676	3098
"Tubd1"	222	209	139	226	147	268
"Tube1"	135	151	111	215	148	161
"Tubg1"	1048	1270	886	1144	792	1190
"Tubg2"	141	130	85	125	120	160
"Tubgcp2"	939	1015	732	963	784	1142
"Tubgcp3"	1429	1661	967	1607	1674	1831
"Tubgcp4"	828	1191	729	1276	736	1080
"Tubgcp5"	611	664	418	682	506	639
"Tubgcp6"	754	862	628	867	675	980
"Tufm"	4610	5256	3439	5555	3752	5498
"Tuft1"	1802	2018	1200	1663	1348	2047
"Tug1"	3872	4145	2751	4342	3615	4536
"Tulp1"	7	1	4	8	5	2
"Tulp2"	9	13	12	11	7	14
"Tulp3"	604	433	418	397	440	458
"Tulp4"	4285	4513	3007	4519	3476	4350
"Tunar"	4	3	2	3	0	2
"Tusc1"	200	189	186	206	217	253
"Tusc2"	1783	1953	1209	1702	1211	1917
"Tusc3"	1667	1667	1171	1619	1286	1690
"Tusc5"	74	93	45	41	32	53
"Tut1"	824	903	697	838	713	1083
"Tvp23a"	145	136	71	137	125	134
"Tvp23b"	2101	2571	1648	2706	1968	2793
"Twf1"	7385	9278	5760	8294	5664	8588
"Twf2"	1117	1030	675	983	742	951
"Twist1"	641	382	463	366	439	449
"Twist2"	163	103	115	85	94	103
"Twistnb"	666	692	506	645	503	675
"Twsg1"	6525	6001	4593	5955	5358	5830
"Txk"	5	9	3	21	14	9
"Txlna"	2789	3062	2210	3052	2473	3122
"Txlnb"	1578	474	427	51	489	373
"Txlng"	707	775	509	695	642	794
"Txn1"	29138	35275	22367	36719	25283	40085
"Txn2"	6092	6232	4372	6412	4972	7253
"Txndc11"	1410	1576	981	1417	1130	1606
"Txndc12"	1450	1651	1096	1786	1022	1580
"Txndc15"	1825	2042	1372	1923	1504	2035
"Txndc16"	1715	1843	1226	2043	1545	1901
"Txndc17"	3740	4182	2806	3977	2975	4433
"Txndc2"	0	0	4	0	0	0
"Txndc5"	9541	10562	7075	10575	7584	10101
"Txndc8"	0	0	0	0	0	0
"Txndc9"	2241	2549	1587	2564	1956	2614
"Txnip"	36639	45115	27518	34310	37589	38242
"Txnl1"	3127	3424	2402	3325	2425	3632
"Txnl4a"	3721	3801	2730	3505	2948	4011
"Txnl4b"	345	307	256	424	365	420
"Txnrd1"	8588	10537	7057	10908	6896	11899
"Txnrd2"	484	450	355	526	393	514
"Txnrd3"	602	630	439	497	593	630
"Tyk2"	1626	1934	1252	2130	1567	2107
"Tymp"	74	120	61	82	66	111
"Tyms"	1236	1404	864	1542	985	1832
"Tyms-ps"	2	10	2	10	4	4
"Tyr"	36	33	28	38	43	58
"Tyro3"	846	900	725	924	654	929
"Tyrobp"	691	633	510	649	506	441
"Tyrp1"	0	0	1	0	1	2
"Tysnd1"	1024	1118	828	1111	857	1316
"Tyw1"	1051	1293	857	1198	905	1277
"Tyw3"	121	110	82	137	168	177
"Tyw5"	209	223	183	234	225	279
"U2af1"	2520	2703	1980	2662	2052	3185
"U2af1l4"	753	773	522	737	686	892
"U2af2"	5235	6054	4297	6131	5143	7203
"U2surp"	3108	3289	2143	3045	2520	3255
"U90926"	0	0	0	0	0	0
"Uaca"	5101	5285	4089	5047	4345	5236
"Uap1"	5321	6588	4004	6599	4615	7179
"Uap1l1"	1221	1599	928	1232	1253	1536
"Uba1"	12695	14765	9676	15011	11162	15522
"Uba1y"	73	66	59	63	70	96
"Uba2"	3419	3844	2691	3576	3095	3869
"Uba3"	2823	3026	1933	2882	2154	3067
"Uba5"	1445	1482	1052	1414	1326	1682
"Uba52"	29859	33165	22241	33823	24987	36347
"Uba6"	598	616	481	649	552	627
"Uba7"	979	1294	701	1492	1028	1658
"Ubac1"	2028	1639	1078	1497	1335	1994
"Ubac2"	1900	1979	1408	1902	1405	2138
"Ubald1"	1859	1926	1383	1752	1436	1731
"Ubald2"	125	161	96	180	130	213
"Ubap1"	3011	3334	2261	3181	2320	3390
"Ubap1l"	0	1	8	2	0	2
"Ubap2"	3161	3547	2583	3482	2474	3392
"Ubap2l"	5275	5939	4006	5693	4249	5647
"Ubash3a"	3	1	6	5	3	8
"Ubash3b"	180	164	124	169	156	154
"Ubb"	13879	12520	10180	13469	11047	14572
"Ubc"	7212	8280	4750	5941	7413	7066
"Ubd"	63	51	13	71	23	24
"Ube2a"	1904	2123	1460	1872	1464	2162
"Ube2b"	5572	5152	3675	5137	4272	5749
"Ube2c"	1065	1215	928	2274	1307	2252
"Ube2cbp"	80	102	73	94	81	113
"Ube2d1"	1700	1348	907	1119	977	1222
"Ube2d2a"	6532	6552	4737	6326	4929	6758
"Ube2d2b"	0	0	0	0	0	1
"Ube2d3"	12506	13289	9422	12297	9816	13621
"Ube2dnl1"	0	0	0	0	0	0
"Ube2dnl2"	0	0	0	0	0	0
"Ube2e1"	1186	1054	761	1032	768	1055
"Ube2e2"	734	625	617	614	607	808
"Ube2e3"	2061	2098	1578	1971	1560	2018
"Ube2f"	1485	1539	1000	1277	986	1538
"Ube2g1"	3200	3012	2200	2869	2535	3227
"Ube2g2"	3047	2796	1971	2457	2019	2994
"Ube2h"	5398	4945	4103	5437	4053	5513
"Ube2i"	7142	7630	5287	7221	6018	8123
"Ube2j1"	3021	3219	2246	3253	2345	3291
"Ube2j2"	272	306	219	262	189	300
"Ube2k"	3697	3832	2889	3451	3123	3940
"Ube2l3"	7552	8278	5629	8068	6021	8714
"Ube2l6"	519	454	338	532	422	428
"Ube2m"	3989	3977	3060	3757	2900	4104
"Ube2n"	5979	6460	4592	6353	4593	6610
"Ube2o"	1062	931	702	841	801	1006
"Ube2q1"	2902	3586	2250	3274	2512	3766
"Ube2q2"	1439	1434	1020	1417	1248	1530
"Ube2ql1"	22	5	10	2	6	10
"Ube2r2"	8144	8667	5911	9107	7680	9736
"Ube2s"	3203	3054	2129	3392	2381	3918
"Ube2t"	180	187	130	230	166	238
"Ube2u"	1	2	0	0	4	1
"Ube2v1"	8590	8902	6376	8713	6498	9233
"Ube2v2"	1583	1789	1191	1640	1442	1902
"Ube2w"	1610	1594	1246	1514	1143	1532
"Ube2z"	6309	7056	4619	6735	5079	7294
"Ube3a"	1866	1977	1386	2031	1708	2087
"Ube3b"	4908	5236	3565	5292	4131	5871
"Ube3c"	2781	3192	2204	3139	2560	3551
"Ube4a"	2087	2374	1567	2467	1983	2643
"Ube4b"	2529	2736	1943	3162	2423	3172
"Ube4bos3"	3	5	0	12	14	10
"Ubfd1"	1398	1453	1072	1465	1151	1701
"Ubiad1"	653	617	542	1318	973	1407
"Ubl3"	4737	4995	3517	4877	3859	4964
"Ubl4a"	1516	1552	965	1383	1123	1658
"Ubl4b"	0	1	0	0	0	0
"Ubl5"	3864	4234	2809	4424	3532	4907
"Ubl7"	1682	1593	1204	1616	1589	1749
"Ublcp1"	1609	1641	1122	1553	1239	1806
"Ubn1"	2874	3016	2162	3293	2681	3424
"Ubn2"	1438	1731	1249	1894	1567	1982
"Ubox5"	350	513	270	412	305	469
"Ubp1"	3244	3659	2464	3558	3235	4011
"Ubqln1"	6063	6936	4685	6507	4970	7206
"Ubqln2"	1699	1627	1298	1669	1326	1691
"Ubqln3"	0	0	0	0	0	0
"Ubqln4"	3368	3902	2684	3387	2550	3709
"Ubqlnl"	0	0	0	0	0	0
"Ubr1"	1651	1590	1137	1609	1339	1599
"Ubr2"	3242	3484	2265	3827	3102	3913
"Ubr3"	5269	5223	3554	4878	3984	5024
"Ubr4"	6129	7234	4589	8425	5617	8433
"Ubr5"	8842	10281	6904	10296	7254	10253
"Ubr7"	1887	2058	1459	1936	1466	1950
"Ubtd1"	653	621	508	437	380	635
"Ubtd2"	825	674	521	578	519	721
"Ubtf"	6227	6322	4541	6648	5441	7893
"Ubtfl1"	1	0	0	0	0	1
"Ubxn1"	4956	4773	3649	4853	3930	5229
"Ubxn10"	403	509	358	476	324	499
"Ubxn11"	50	39	35	70	66	88
"Ubxn2a"	2771	3272	2178	3055	2390	3089
"Ubxn2b"	424	422	309	405	349	438
"Ubxn4"	3436	3704	2431	3563	3098	4044
"Ubxn6"	2444	2570	1606	2712	2414	3077
"Ubxn7"	1811	1638	1337	1800	1609	1695
"Ubxn8"	835	891	627	1054	872	1206
"Uchl1"	1260	848	735	707	881	1027
"Uchl1os"	1	0	2	0	1	1
"Uchl3"	1045	853	690	825	726	1118
"Uchl4"	6	8	3	6	2	5
"Uchl5"	1343	1389	1038	1308	1105	1471
"Uck1"	1472	1616	1106	1527	1239	1626
"Uck2"	891	995	730	890	590	869
"Uckl1"	1230	1416	926	1547	1244	1520
"Uckl1os"	170	85	47	39	75	61
